Classtype: 3
Fullname: rfqwerf
Lastname: faerdf
Job: afed
Inchargeof: 1231
Reportsto: fwaef
Classtype: 0
Fullname: fwefa
Lastname: 2342r
Job: fw
Classtype: 0
Fullname: aefa
Lastname: b
Job: eafea
Classtype: 1
Fullname: aef
Lastname: efa
Job: wefg
Inchargeof: 3
Classtype: 1
Fullname: efqawe23
Lastname: ef3r3
Job: 3
Inchargeof: 34
Classtype: 2
Fullname: fwearw3er
Lastname: 
Job: fwerfa
Reportsto: 3
Classtype: 3
Fullname: aferaw34
Lastname: rgtser
Job: tfg
Inchargeof: 45
Reportsto: g
Classtype: 3
Fullname: 46t54
Lastname: hgrt4
Job: gser
Inchargeof: 4
Reportsto: grfs
Classtype: 0
Fullname: fgserg4
Lastname: fgse43
Job: e44
Classtype: 0
Fullname: a
Lastname: afa
Job: 
Classtype: 0
Fullname: adf
Lastname: fasdf
Job: 3r43
Classtype: 1
Fullname: faweraqwe4
Lastname: r43
Job: 5
Inchargeof: 2
Classtype: 0
Fullname: fawef
Lastname: trfew
Job: 23
